	hn_wx	hn_utf	conc_eng	conc_hn	hn_ex
0	AbakArI_1	आबकारी_1	excise_1	शराब बनने और बिकने की जगह	"""रामू शराबघर में काम करता है ।"""
1	AbakArI_1	आबकारी_1	excise_1	मादक वस्तुओं से संबंध रखनेवाला एक सरकारी विभाग	"""महेश आबकारी में काम करता है । / आज आबकारी मंत्री आनेवाले हैं ।"""
2	aBAviwa_1	अभावित_1	uncontemplated_1	जिसकी भावना या चिंतन न किया गया हो	"""वह अभावित विषय को समझने का प्रयास कर रहा था ।"""
3	aBicAra_1	अभिचार_1	incantation_1	मंत्र-तंत्र द्वारा मारन तथा उच्चाटन आदि हिंसक कार्य	"""अभिचार को प्रमाणित करना सम्भव नहीं हो पाता है ।"""
4	aBicAra_2	अभिचार_2	sorcery_1	मंत्र-तंत्र द्वारा मारन तथा उच्चाटन आदि हिंसक कार्य	"""अभिचार को प्रमाणित करना सम्भव नहीं हो पाता है ।"""
5	aBicArI_1	अभिचारी_1	incantational_1	मंत्र-तंत्र करने वाला	"""उसने दुश्मनी निकालने के लिए अभिचारी व्यक्ति की सहायता ली ।"""
6	aBicArI_2	अभिचारी_2	incantatory_1	मंत्र-तंत्र करने वाला	"""उसने दुश्मनी निकालने के लिए अभिचारी व्यक्ति की सहायता ली ।"""
7	aBijAwawaMwra_1	अभिजाततंत्र_1	aristocracy_2	शासन करने की एक प्रणाली	"""अभिजात-तंत्र में राज्य करने का संपूर्ण प्रबंध थोड़े से उच्चकुल के तथा सम्पन्न लोगों के हाथ में रहता है ।"""
8	aBijFAwa_1	अभिज्ञात_1	recognised_1	पहले से जाना हुआ	"""ये सभी अभिज्ञात वस्तुएँ हैँ कुछ नया दिखाइए ।"""
9	aBijFAwa_1	अभिज्ञात_1	recognised_1	शाल्मली नामक द्वीप के सात खंडो में से एक	"""अभिज्ञात का उल्लेख पुराणों में मिलता है ।"""
10	aBiRikwa_1	अभिषिक्त_1	consecrated_1	जिसकी सिंचाई की गई हो	"""सिंचित खेत में मत जाओ, पैर में गीली मिट्टी लगेगी । / यह पत्र अश्रु से अभिषिक्त है ।"""
11	aBiRikwa_1	अभिषिक्त_1	consecrated_1	विधिपूर्वक स्नान कराया हुआ या जिसका अभिषेक किया गया हो	"""पुजारी अभिषिक्त पुष्पों को भक्तों में बाँट रहे हैं ।"""
12	aBiRikwa_1	अभिषिक्त_1	consecrated_1	बाधा-शांति के निमित्त जिस पर मंत्र पढ़कर जल छिड़का गया हो	"""पंडितजी ने नए भवन को अभिषिक्त किया ।"""
13	aBiRikwa_1	अभिषिक्त_1	consecrated_1	विधिपूर्वक जल छिड़ककर अधिकार का भार दिया हुआ	"""राम ने समुद्र जल से विभीषण को अभिषिक्त किया ।"""
14	aBiRikwa_2	अभिषिक्त_2	enthroned_1	जिसकी सिंचाई की गई हो	"""सिंचित खेत में मत जाओ, पैर में गीली मिट्टी लगेगी । / यह पत्र अश्रु से अभिषिक्त है ।"""
15	aBiRikwa_2	अभिषिक्त_2	enthroned_1	विधिपूर्वक स्नान कराया हुआ या जिसका अभिषेक किया गया हो	"""पुजारी अभिषिक्त पुष्पों को भक्तों में बाँट रहे हैं ।"""
16	aBiRikwa_2	अभिषिक्त_2	enthroned_1	बाधा-शांति के निमित्त जिस पर मंत्र पढ़कर जल छिड़का गया हो	"""पंडितजी ने नए भवन को अभिषिक्त किया ।"""
17	aBiRikwa_2	अभिषिक्त_2	enthroned_1	विधिपूर्वक जल छिड़ककर अधिकार का भार दिया हुआ	"""राम ने समुद्र जल से विभीषण को अभिषिक्त किया ।"""
18	aBiyAcanA_1	अभियाचना_1	demand_1	कुछ पाने के लिए प्रार्थना करने की क्रिया या भाव	"""राम की अपने मालिक से पैसों के लिए की गई याचना व्यर्थ हो गई ।"""
19	aBogya_1	अभोग्य_1	forbidden_1	भोग या आनंद लेने के अयोग्य	"""पका भोजन छः घंटे के बाद अभोग्य हो जाता है ।"""
20	AcCaxa_1	आच्छद_1	sheath_1	ढाँकने का वस्त्र	"""आपकी पूजा की थाली का आच्छद बहुत सुंदर है ।"""
21	AcCaxa_2	आच्छद_2	lid_1	ढाँकने का वस्त्र	"""आपकी पूजा की थाली का आच्छद बहुत सुंदर है ।"""
22	AcCaxa_3	आच्छद_3	cover_1	ढाँकने का वस्त्र	"""आपकी पूजा की थाली का आच्छद बहुत सुंदर है ।"""
23	aGamarRaNa_1	अघमर्षण_1	purification_5	एक पौराणिक ऋषि	"""अघमर्षण का वर्णन ऋग्वेद में मिलता है ।"""
24	agnipUjaka_1	अग्निपूजक_1	fire-worshipper_1	वह व्यक्ति जो अग्नि की पूजा करता है	"""अग्निपूजकों में आर्य, पारसी आदि आते हैं ।"""
25	agnipUjaka_1	अग्निपूजक_1	fire-worshipper_1	वह व्यक्ति जो अग्नि की पूजा करता है	"""अग्निपूजकों में आर्य, पारसी आदि आते हैं ।"""
26	agnyaswra_1	अग्न्यस्त्र_1	firearms_1	वह अस्त्र जिससे आग निकलती है	"""प्राचीन काल में आग्नेयास्त्रों का प्रयोग अधिक किया जाता था ।"""
27	aGorI_1	अघोरी_1	filthy_1	अघोरपंथ का अनुयायी	"""यहाँ पहले एक औघड़ रहते थे ।"""
28	aGorI_1	अघोरी_1	filthy_1	घिनौने पदार्थों जैसे गुह, माँस आदि का भक्षण करने वाला व्यक्ति	"""अघोरी श्मशान में मुरदे का माँस खा रहा था ।"""
29	aGorI_2	अघोरी_2	detestable_1	अघोरपंथ का अनुयायी	"""यहाँ पहले एक औघड़ रहते थे ।"""
30	aGorI_2	अघोरी_2	detestable_1	घिनौने पदार्थों जैसे गुह, माँस आदि का भक्षण करने वाला व्यक्ति	"""अघोरी श्मशान में मुरदे का माँस खा रहा था ।"""
31	agrAmya_1	अग्राम्य_1	civil_1	जो नगर में निवास करता हो या नगर में रहने वाला	"""शहरी लोग ग्रामीणों की अपेक्षा अधिक शिक्षित होते हैं ।"""
32	agrAmya_1	अग्राम्य_1	civil_1	जंगल में होने या मिलने वाला	"""यह जंगली जड़ी है ।"""
33	agrAmya_2	अग्राम्य_2	civic_1	जो नगर में निवास करता हो या नगर में रहने वाला	"""शहरी लोग ग्रामीणों की अपेक्षा अधिक शिक्षित होते हैं ।"""
34	agrAmya_2	अग्राम्य_2	civic_1	जंगल में होने या मिलने वाला	"""यह जंगली जड़ी है ।"""
35	agrAmya_3	अग्राम्य_3	urbane_1	जो नगर में निवास करता हो या नगर में रहने वाला	"""शहरी लोग ग्रामीणों की अपेक्षा अधिक शिक्षित होते हैं ।"""
36	agrAmya_3	अग्राम्य_3	urbane_1	जंगल में होने या मिलने वाला	"""यह जंगली जड़ी है ।"""
37	agrAmya_4	अग्राम्य_4	refined_1	जो नगर में निवास करता हो या नगर में रहने वाला	"""शहरी लोग ग्रामीणों की अपेक्षा अधिक शिक्षित होते हैं ।"""
38	agrAmya_4	अग्राम्य_4	refined_1	जंगल में होने या मिलने वाला	"""यह जंगली जड़ी है ।"""
39	AhA_1	आहा_1	joy_3	हर्ष, उल्लास आदि का सूचक शब्द	"""आहा तुम्हारा फ्राक कितना सुंदर है ।"""
40	AhA_1	आहा_1	joy_3	विस्मय, खेद आदि का सूचक शब्द	"""आहा आपको कितनी चोट आई है ।"""
41	AhA_2	आहा_2	sorrow_3	हर्ष, उल्लास आदि का सूचक शब्द	"""आहा तुम्हारा फ्राक कितना सुंदर है ।"""
42	AhA_2	आहा_2	sorrow_3	विस्मय, खेद आदि का सूचक शब्द	"""आहा आपको कितनी चोट आई है ।"""
43	AhA_3	आहा_3	aha_3	हर्ष, उल्लास आदि का सूचक शब्द	"""आहा तुम्हारा फ्राक कितना सुंदर है ।"""
44	AhA_3	आहा_3	aha_3	विस्मय, खेद आदि का सूचक शब्द	"""आहा आपको कितनी चोट आई है ।"""
45	aharaNIya_1	अहरणीय_1	inviolable_2	चोरी या हरण न होने योग्य	"""ज्ञान अहार्य वस्तु है ।"""
46	aharaNIya_2	अहरणीय_2	unprescriptible_1	चोरी या हरण न होने योग्य	"""ज्ञान अहार्य वस्तु है ।"""
