	hindi_word
0	अँकुर,
1	अँगरेज़ियत,
2	अँगहीन,
3	अँगौछा,
4	अँग्रेज़ी,
5	अँडुआ,
6	अँधौटी,
7	अंक पा,
8	अंक बना,
9	अंक लिखा,
10	अंकित कर,
11	अंकुरित हो,
12	अंग फैलाकर लेटना या बैठ,
13	अंगड़ाई ले,
14	अंगभूत,
15	अंगरखा,
16	अंगसंस्कार,
17	अंगीकार कर,
18	अंगीकार न कर,
19	अंगू,
20	अंगूर का बाग,
21	अंगूरी,
22	अंट-शंट,
23	अंटाचित्त,
24	अंडे से,
25	अंडे-बच्चे,
26	अंतःकालीन,
27	अंतःपटल,
28	अंतःप्रज्ञा,
29	अंतःप्रज्ञाबाद,
30	अंतःप्रज्ञाश्रित,
31	अंतःप्रवेश,
32	अंतःप्रेरणा,
33	अंतःशक्ति,
34	अंतःस्थ,
35	अंतड़ी,
36	अंतर मिटा,
37	अंतर या भेद,
38	अंतरक,
39	अंतराय,
40	अंतर्गत,
41	अंतर्गह,
42	अंतर्गहण,
43	अंतर्जात,
44	अंतर्ज्वाला,
45	अंतर्दर्शन,
46	अंतर्दर्शी,
47	अंतर्दृश्य,
48	अंतर्धान,
49	अंतर्ध्वंस,
50	अंतर्नली,
51	अंतर्प्रयाण,
52	अंतर्भूत,
53	अंतर्भेदन,
54	अंतर्भेदी,
55	अंतर्राष्ट्रीयता,
56	अंतर्राष्ट्रीयतावाद,
57	अंतर्लयन,
58	अंतर्वस्त्र,
59	अंतर्वासी,
60	अंतर्विराम,
61	अंतर्विवाह,
62	अंतर्विवेक,
63	अंतर्वेश,
64	अंतस्तल,
65	अंतिम चरण,
66	अंतिम चारा,
67	अंतिम दौर में पहुँचने वाले,
68	अंतिमता,
69	अंत्यलोप,
70	अंदरी,
71	अंदाज़ लगा,
72	अंधमति,
73	अंधविश्वा,
74	अंधानुकरण कर,
75	अंबारखाना,
76	अंशदाता,
77	अंशदान कर,
78	अंशभागी,
79	अंशांक,
80	अकंप,
81	अकठोर,
82	अकड़फूँ,
83	अकरणीय,
84	अकलुष,
85	अक़्द,
86	अकांड,
87	अकादेमी,
88	अकिंचनत्व,
89	अकिर्तित,
90	अकीति,
91	अकुला,
92	अकृतीकरण,
93	अकेला महसूस कर,
94	अकेले ही,
95	अकेले,
96	अक्षतता,
97	अक्षरविश्लेषण,
98	अक्षरश,
99	अक्षांक,
100	अक्षाश,
101	अक्षुब्ध,
102	अक्षौहिणी,
103	अखरोट आदि का छिलका,
104	अखलाक़,
105	अगम्यता,
106	अगम्यागमन,
107	अगर-मगर,
108	अगर्हित,
109	अगल-बग़ल,
110	अगाड़ीपिछाड़ी,
111	अगुवाई कर,
112	अग्नि का प्रकाश,
113	अग्नि परीक्षा,
114	अग्नि सम्बन्धी,
115	अग्नित्र्कीड़ा,
116	अग्निपूजक,
117	अग्निपूजा,
118	अग्निमय,
119	अग्निसंस्कार,
120	अग्न्यस्त्र,
121	अग्रयायी,
122	अग्रलेख,
123	अग्रसर किया,
124	अग्राम्य,
125	अग्रिमराशि,
126	अघमर्षण,
127	अघिकारी,
128	अघोरी,
129	अचंभित कर,
130	अचल कर,
131	अचलता,
132	अचानक गिर,
133	अचानक बहुत बढ,
134	अचानक बारिश होना,
135	अचानक मार,
136	अचानक रोक,
137	अचार बना,
138	अचीन्हा,
139	अचेत कर,
140	अच्छिन्न,
141	अच्छी जाति का घोड़ा,
142	अच्छी तरह काटा हुआ गोश्त,
143	अच्छे ढ़ंग से,
144	अच्छे से ढूँढ,
145	अछोर,
146	अजंडा,
147	अजगर से भी बहुत बड़ा साँप,
148	अजगरी,
149	अजस्त्र,
150	अज़ग़ैबी,
151	अजिल्द,
152	अजी,
153	अजीब गुण होना,
154	अजीब तरह से,
155	अज्ञात परिस्थिति,
156	अज्ञात वास,
157	अज्ञेयता,
158	अट,
159	अटकलपच्चू,
160	अटारी,
161	अडजा,
162	अड़चन,
163	अड़दार,
164	अड़सी-पड़ोसी,
165	अड़ाअड़ी,
166	अड़ोस पड़ोस,
167	अड्डे पर बैठ,
168	अणिमा,
169	अणु का एक छोटा भाग,
170	अणुvAxa1,
171	अणुवादी,
172	अण्ड़ाशय,
173	अण्डे दे,
174	अत:,
175	अतर्कित,
176	अति कटु भाषण या आलोचना,
177	अति कर दे,
178	अति कष्ट दे,
179	अति दूर,
180	अति प्राचीन,
181	अति शीतल,
182	अति सुन्दर,
183	अतिकथन,
184	अतिचार,
185	अतिचारचारी,
186	अतिथिक,
187	अतिथिपरायणता,
188	अतिदुखी,
189	अतिनैतिक,
190	अतिपरवलय,
191	अतिपात,
192	अतिपायिता,
193	अतिपायी,
194	अतिप्रसन्न,
195	अतिप्राकृत,
196	अतिमानव,
