	eng_word
0	
1	-as
2	-binding
3	-gave
4	-inch
5	-ist
6	-posture
7	-tie
8	Anatomy
9	Anglican
10	Aryan
11	Astronomy
12	Avoidable
13	Bellona
14	Biology
15	Biometry
16	Botanist
17	Botany
18	Bra:hm
19	Brahmanism
20	Brahmanist
21	Brahmin
22	COULD
23	Champa
24	Chemistry
25	Commander-in-Chief
26	Creation
27	Creator
28	Deccan
29	Diwali
30	Economics
31	Emperor
32	Empress
33	Englishism
34	Englishman
35	Excellent
36	Feburary
37	Gandhism
38	Gandhite
39	Ganga
40	Geometry
41	God-fearing
42	God-worshipping
43	Godhood
44	Godly
45	Gora
46	Gorkha
47	Govt
48	Haryana
49	Himlayas
50	Holi
51	Id
52	Idealism
53	Idealist
54	Indian]
55	Indianisation
56	Indologist
57	Indology
58	Jamadar
59	Justice
60	Jyeha
61	Kine-house
62	Lekhpal
63	Lord
64	Malaya:lam
65	Marxism
66	Master
67	Mastery
68	Mathematics
69	Maulvi
70	Maya
71	Metaphysics
72	Mister
73	Mohammedan
74	Mull
75	Nawab
76	Nawabship
77	Nazist
78	Panchayat
79	Panda
80	Parapsychology
81	Pedagogy
82	Penates
83	Phonetics
84	Premier
85	President
86	Providence
87	Purohit
88	Qawwali
89	Qoran
90	Rajasthan
91	Rakshabandhan
92	Ramalila
93	Ramzan
94	Ras-gulla
95	Republic
96	Republican
97	Rhetorics
98	Sadhu
99	Satyagrah
100	Scientist
101	Seth
102	Shahjahan
103	Singh
104	Sir
105	Sovereignty
106	Spiritualism
107	Utopia
108	Vaisakh
109	Vaishya
110	Yoga
111	Yogi
112	Zoology
113	Zoroastrian
114	a
115	aasmus
116	abandonable
117	abandoner
118	abandoning
119	abase
120	abasia
121	abate
122	abatis
123	abberrant
124	abbey
125	abbot
126	abbreviated
127	abdicate
128	abductivity
129	aberrant
130	aberrated
131	aberration
132	abetment
133	abeyance
134	abhor
135	abhorred
136	abhorrence
137	abiding
138	ablaze
139	abnegate
140	abnegated
141	abnegating
142	abnormal
143	abolition
144	abominable
145	abomination
146	abort
147	abortifacient
148	abrasive
149	abridged
150	abridged/shortened
151	abridgement
152	abrogable
153	abrogated
154	abrogation
155	abrupt
156	abruptly
157	abscess
158	abscission
159	absconder
160	absent-minded
161	absent-mindedness
162	absolutely
163	absoluteness
164	absolution
165	absolutist
166	absolve
167	absorbant
168	absorber
169	absorbing
170	abstain
171	abstaining
172	abstemiousness
173	abstinency
174	abstinent
175	abstraction
176	abstractionism
177	abstruse
178	abstrusencess
179	abstruseness
180	absurdity
181	abulia
182	abundance
183	abundant
184	abutment
185	abyss
186	acatheris
187	acceleratable
188	accelerate
189	acceleration
190	acceptably
191	accepting
192	access
193	accession
194	accidental
195	accidentally
196	acclimatisation
197	accommodating
198	accompany
199	accomplice
200	accomplishing
201	accordance
202	accountability
203	accountable
204	accountancy
205	accountant-general
206	accounts
207	accoutrements
208	accreditation
209	accrediting
210	accredition
211	accreditor
212	accumulations
213	accumulator
214	accuracy
215	accurately
216	accuse
217	achieved
218	achieving
219	aching
220	acidify
221	acknowledging
222	acoustic
223	acquainted
224	acquiescence
225	acquirable
226	acquired
227	acquirer
228	acquisitive
229	acquittal
230	acquitted
231	acreage
232	acridity
233	acrimony
234	acrobat
235	acrobatic
236	acrobatics
237	actively
238	activism
239	actual
240	acutely
241	acyron
242	adapt
243	adaptability
244	adaptor
245	add
246	addictive
247	additionally
248	addressed
249	addressee
250	adduce
251	adecdotage
252	adequacy
253	adequate
254	adherence
255	adhesion
256	adhesive
257	adhesiveness
258	adjoining
259	adjourn
260	adjourned
261	adjudged
262	adjudgement
263	adjudication
