Hin_Label	Eng_Label	POS	MRS_Concept	MRS_Feature_Values
word	meaning	pos	unknown	LBL: h* ARG0: e* ARG: x* 
word	meaning	pos	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
word	meaning	pos	_meaning_n_1	LBL: h* ARG0: x* 
अकार_1	letter_1	noun	_letter_n_of	LBL: h* ARG0: x* ARG1: i* 
अंक_1	number_1	noun	_number_n_of	LBL: h* ARG0: x* 
अंक_2	figure_1	noun	_figure_n_1	LBL: h* ARG0: x* 
अंक_3	mark_1	noun	_mark_n_of	LBL: h* ARG0: x* ARG1: i* 
अंक_4	spot_1	noun	_spot_n_of	LBL: h* ARG0: x* ARG1: i* 
अंक_5	line_1	noun	_line_n_of	LBL: h* ARG0: x* 
अंक_6	stamp_1	noun	_stamp_n_1	LBL: h* ARG0: x* 
अंक_7	brand_1	noun	_brand_n_of	LBL: h* ARG0: x* 
अंक_8	pricemark_1	noun	_pricemark/NN_u_unknown	LBL: h* ARG0: x* 
अंक_9	syllable_1	noun	_syllable_n_1	LBL: h* ARG0: x* 
अंक_10	number_2	noun	_number_n_of	LBL: h* ARG0: x* 
अंक_11	issue_1	noun	_issue_n_1	LBL: h* ARG0: x* 
अंक_12	valuation_1	noun	_valuation_n_1	LBL: h* ARG0: x* 
अंक_13	act_1	noun	_act_n_of	LBL: h* ARG0: x* ARG1: i* 
अंक_14	point_1	noun	_point_n_of	LBL: h* ARG0: x* 
अंक_15	hip_1	noun	_hip_n_1	LBL: h* ARG0: x* 
अंक_16	lap_1	noun	_lap_n_1	LBL: h* ARG0: x* 
अंक_17	embrace_1	noun	_embrace_n_1	LBL: h* ARG0: x* 
अंक_18	body_1	noun	_body_n_1	LBL: h* ARG0: x* 
अंक+दे_1	embrace_2	verb	_embrace_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अंक+भर_1	embrace_3	verb	_embrace_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अंक+लगा_1	embrace_4	verb	_embrace_v_1	LBL: h* ARG0: e* ARG1: x* ARG2: p* 
अंक-गणित_1	arithmetic_1	noun	_arithmetic_n_1	LBL: h* ARG0: x* 
अंकधारी_1	1_1	adj	number_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अंकधारी_1	1_1	adj	card	,CARG:_VALUES
अंक-पत्र_1	stamp_2	noun	_stamp_n_1	LBL: h* ARG0: x* 
अंक-पत्र_2	revenue_1	noun	_revenue_n_1	LBL: h* ARG0: x* 
अंक-माल_1	embrace_5	noun	_embrace_n_1	LBL: h* ARG0: x* 
अंक-शास्त्र_1	statistics_1	noun	_statistics_n_1	LBL: h* ARG0: x* 
अंक-शास्त्र˚ई_1	statistician_1	noun	_statistician_n_1	LBL: h* ARG0: x* 
अंकेक्षक_1	auditor_1	noun	_auditor_n_1	LBL: h* ARG0: x* 
अंकेक्षण_1	auditing_1	noun	_audit_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: p* 
अंकेक्षण_1	auditing_1	noun	nominalization	LBL: h* ARG0: x* ARG1: h* 
अंकेक्षा_1	auditing_2	noun	_audit_v_1	LBL: h* ARG0: e* ARG1: i* ARG2: p* 
अंकेक्षा_1	auditing_2	noun	nominalization	LBL: h* ARG0: x* ARG1: h* 
अंकेक्षा_2	audit_1	noun	_audit_n_of	LBL: h* ARG0: x* ARG1: i* 
अंकक_1	stamp_3	noun	_stamp_n_1	LBL: h* ARG0: x* 
अंकक_2	seal_1	noun	_seal_n_1	LBL: h* ARG0: x* 
अँकड़ा_1	hook_1	noun	_hook_n_1	LBL: h* ARG0: x* 
अँकड़ा_2	arrowhead_1	noun	_arrowhead_n_1	LBL: h* ARG0: x* 
अँकड़ा_3	parch_1	verb	udef_q	LBL: h* ARG0: x* RSTR: h* BODY: h* 
अँकड़ा_3	parch_1	verb	_parch/NN_u_unknown	LBL: h* ARG0: x* 
अँकड़ा_4	dry_1	verb	_dry_v_1	LBL: h* ARG0: e* ARG1: x* 
अँकड़ाहट_1	shrinking_1	noun	_shrink_v_1	LBL: h* ARG0: e* ARG1: i* 
अँकड़ाहट_1	shrinking_1	noun	nominalization	LBL: h* ARG0: x* ARG1: h* 
अँकड़ाहट_2	crispness_1	noun	_crispness/NN_u_unknown	LBL: h* ARG0: x* 
अँकड़ाहट_3	dryness_1	noun	_dryness/NN_u_unknown	LBL: h* ARG0: x* 
अँकड़ाहट_4	cramp_1	noun	_cramp_n_1	LBL: h* ARG0: x* 
अँकड़ी_1	arrowhead_2	noun	_arrowhead_n_1	LBL: h* ARG0: x* 
अँकड़ी_2	barb_1	noun	_barb_n_1	LBL: h* ARG0: x* 
अंकन_1	outlining_1	noun	_outline_v_to	LBL: h* ARG0: e* ARG1: i* ARG2: p* 
अंकन_1	outlining_1	noun	nominalization	LBL: h* ARG0: x* ARG1: h* 
अंकन_2	drawing_1	noun	_drawing_n_of	LBL: h* ARG0: x* ARG1: i* 
अंकन_3	marking_1	noun	_marking_n_1	LBL: h* ARG0: x* 
