	hin	eng	hin_id	eng_id	hin_gloss	eng_gloss	hin_ex	eng_ex
0	आभा_1	lustre_2	2467	4954683	रत्न की चमक-दमक या दीप्ति	['the visual property of something that shines with reflected light']	"""हीरे की चमक आँखों को चौंधिया रही थी ।"""	[]
1	अब_1	now_3	11083	49220	इसी समय या इस वक़्त या इस क्षण	['at the present moment']	"""अभी मैं सोना चाहता हूँ ।"""	['goods now on sale', 'the now-aging dictator', 'they are now abroad', 'he is busy at present writing a new novel', 'it could happen any time now']
2	अब_1	now_3	23773	49102	इस समय (विषय या कार्य परिवर्तन सूचक)	['used to preface a command or reproof or request']	"""अब अगली समस्या पर विचार करें ।"""	['now hear this!', 'now pay attention']
3	अब_1	now_3	2785	48475	आधुनिक या वर्तमान समय में	['in these times']	"""फिलहाल भारत और पाकिस्तान के संबंध अच्छे नहीं हैं । / अब पहले जैसा समय नहीं रहा ।"""	['it is solely by their language that the upper classes nowadays are distinguished', 'we now rarely see horse-drawn vehicles on city streets', 'today almost every home has television']
4	आब_3	water_2	1930	14845743	नदी, जलाशय, वर्षा आदि से मिलने वाला वह द्रव पदार्थ जो पीने, नहाने, खेत आदि सींचने के काम आता है	['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid', ' freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade', ' widely used as a solvent']	"""जल ही जीवन का आधार है ।"""	[]
5	अबाबील_1	swallow_1	4233	1594372	एक प्रकार का पक्षी जो काले रंग का होता है	['small long-winged songbird noted for swift graceful flight and the regularity of its migrations']	"""अबाबील प्रायः उजड़े मकानों में रहती है ।"""	[]
6	अभागा_1	unfortunate_1	2279	1049462	जो भाग्यशाली न हो	['not favored by fortune', ' marked or accompanied by or resulting in ill fortune']	"""उस बदनसीब बच्चे का भाग्य कभी तो बदलेगा ।"""	['an unfortunate turn of events', 'an unfortunate decision', 'unfortunate investments', 'an unfortunate night for all concerned']
7	अभागा_1	unfortunate_1	23230	9630641	वह व्यक्ति जो भाग्यशाली न हो	['a person who suffers misfortune']	"""अभागे के सर पर कभी माँ-बाप का साया भी नहीं पड़ा ।"""	[]
8	अभाग्य_1	misfortune_3	2676	14475405	मंद या बुरा भाग्य	['an unfortunate state resulting from unfavorable outcomes']	"""यह आपका दुर्भाग्य है कि आपका इकलौता बेटा शराबी हो गया ।"""	[]
9	आबहवा_1	climate_1	5520	14519366	किसी स्थान की वह प्राकृतिक स्थिति जिसका प्राणियों आदि के विकास और स्वास्थ्य पर प्रभाव पड़ता है	['the weather in some location averaged over some long period of time']	"""यहाँ की जलवायु हमारे अनुकूल है ।"""	['the dank climate of southern Wales', 'plants from a cold clime travel best in winter']
10	अभक्ष्य_1	uneatable_2	14745	829496	जिसे खाना नहीं चाहिए	['not suitable for food']	"""वह अखाद्य फल खाकर मर गया ।"""	[]
11	आबंटन_1	allotment_3	13650	1083645	बाँटने की क्रिया	['the act of distributing by allotting or apportioning', ' distribution according to a plan']	"""आज तहसीलदार भूमि आवंटन के लिए आ रहे हैं ।"""	['the apportionment of seats in the House of Representatives is based on the relative population of each state']
12	आबनूस_1	ebony_1	26604	12770529	एक पेड़ जो विशेषकर दक्षिण एशिया में पाया जाता है और जिसके पत्ते शीशम के पत्तों की तरह होते हैं	['tropical tree of southern Asia having hard dark-colored heartwood used in cabinetwork']	"""आबनूस की लकड़ी बहुत ही काली और वजनदार होती है ।"""	[]
