linearization_wx	id	sentence_wx	sentence	linearization
(raha_1:TAM(wA_hE_1):k1(addressee:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(m):attr_respect(yes)):k7p(unknown):CLAUSE_TYPE(interrogative))	1	Apa kahAz rahawe hEM?	आप कहाँ रहते हैं?	(रह_1:TAM(ता_है_1):k1(addressee:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(m):attr_respect(yes)):k7p(unknown):CLAUSE_TYPE(interrogative))
(A_1:TAM(yA_hE_1):k1(aXyApaka_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):kr_vn(aBI_1):CLAUSE_TYPE(affirmative))	2	aXyApaka aBI Aye hEM.	अध्यापक अभी आये हैं.	(आ_1:TAM(या_है_1):k1(अध्यापक_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):kr_vn(अभी_1):CLAUSE_TYPE(affirmative))
(KA_1:TAM(wA_hE_1):k1(baccA_3:attr_anim(yes):attr_gen(-):attr_num(sg):attr_per(a)):k7t(agaswa):k2(Pala_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))	3	baccA agaswa meM Pala KAwA hE.	बच्चा अगस्त में फल खाता है.	(खा_1:TAM(ता_है_1):k1(बच्चा_3:attr_anim(yes):attr_gen(-):attr_num(sg):attr_per(a)):k7t(अगस्त):k2(फल_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))
(KA_1:TAM(wA_hE_1):k1(baccA_3:attr_anim(yes):attr_gen(-):attr_num(pl):attr_per(a)):k7t(janavarI):k2(Pala_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))	4	bacce janavarI meM Pala KAwe hEM.	बच्चे जनवरी में फल खाते हैं.	(खा_1:TAM(ता_है_1):k1(बच्चा_3:attr_anim(yes):attr_gen(-):attr_num(pl):attr_per(a)):k7t(जनवरी):k2(फल_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))
(KA_1:TAM(wA_hE_1):k1(baccA_3:attr_anim(yes):attr_gen(-):attr_num(sg):attr_per(a)):k2(unknown):CLAUSE_TYPE(interrogative))	5	baccA kya kAwA hE?	बच्चा क्य काता है?	(खा_1:TAM(ता_है_1):k1(बच्चा_3:attr_anim(yes):attr_gen(-):attr_num(sg):attr_per(a)):k2(unknown):CLAUSE_TYPE(interrogative))
(KA_1:TAM(wA_hE_1):k1(baccA_3:attr_anim(yes):attr_gen(-):attr_num(pl):attr_per(a)):k7t(maMgalavAra_1):k2(Pala_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))	6	bacce maMgalavAra ko Pala KAwe hEM.	बच्चे मंगलवार को फल खाते हैं.	(खा_1:TAM(ता_है_1):k1(बच्चा_3:attr_anim(yes):attr_gen(-):attr_num(pl):attr_per(a)):k7t(मंगलवार_1):k2(फल_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))
(KA_1:TAM(wA_hE_1):k1(baccA_3:attr_anim(yes):attr_gen(-):attr_num(pl):attr_per(a)):k2(Pala_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))	7	bacce Pala KAwe hEM.	बच्चे फल खाते हैं.	(खा_1:TAM(ता_है_1):k1(बच्चा_3:attr_anim(yes):attr_gen(-):attr_num(pl):attr_per(a)):k2(फल_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))
(KA_1:TAM(wA_hE_1):k1(baccA_3:attr_anim(yes):attr_gen(-):attr_num(pl):attr_per(a)):k7t(somavAra_1):k2(Pala_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))	8	bacce somavAra ko Pala KAwe hEM.	बच्चे सोमवार को फल खाते हैं.	(खा_1:TAM(ता_है_1):k1(बच्चा_3:attr_anim(yes):attr_gen(-):attr_num(pl):attr_per(a)):k7t(सोमवार_1):k2(फल_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))
( KA_1:TAM(wA_hE_1):k1(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):kr_vn(rojZa_3):k2(seba_1:attr_gen(-):attr_num(sg):attr_per(a):card(eka_6)):CLAUSE_TYPE(affirmative))	9	rAma rojZa eka seba KAwA hE.	राम रोज़ एक सेब खाता है.	( खा_1:TAM(ता_है_1):k1(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):kr_vn(रोज़_3):k2(सेब_1:attr_gen(-):attr_num(sg):attr_per(a):card(एक_6)):CLAUSE_TYPE(affirmative))
(bo_3:TAM(yA_1):k1(betA_1:attr_anim(yes):attr_gen(m):attr_num(pl):attr_per(a):attr_def(yes)):k7p(Kewa_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k2(bIja_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))	10	betoM ne Kewa meM bIja bo xiyA.	बेटों ने खेत में बीज बो दिया.	(बो_3:TAM(या_1):k1(बेटा_1:attr_anim(yes):attr_gen(m):attr_num(pl):attr_per(a):attr_def(yes)):k7p(खेत_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k2(बीज_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))
(KA_1:TAM(wA_hE_1):k1(gAya_1:attr_anim(yes):attr_gen(-):attr_num(pl):attr_per(a)):k2(GAsa_1:attr_sem-cat(mass):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	11	gAyeM GAsa KAwIM hEM.	गायें घास खातीं हैं.	(खा_1:TAM(ता_है_1):k1(गाय_1:attr_anim(yes):attr_gen(-):attr_num(pl):attr_per(a)):k2(घास_1:attr_sem-cat(mass):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(A_1:TAM(yA_1):k1(jAnavara_1:attr_anim(yes):attr_gen(-):attr_num(pl):attr_per(a):attr_def(yes)):k2p(saBA_3:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))	12	jAnavara saBA meM Aye.	जानवर सभा में आये.	(आ_1:TAM(या_1):k1(जानवर_1:attr_anim(yes):attr_gen(-):attr_num(pl):attr_per(a):attr_def(yes)):k2p(सभा_3:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))
(paDa_2:TAM(wA_hE_1):k1(betA_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):r6(John:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a))):k7p(vixyAlaya_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))	13	John kA betA vixyAlaya meM paDawA hE	झोह्न् का बेटा विद्यालय में पढता है	(पढ_2:TAM(ता_है_1):k1(बेटा_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):r6(झोह्न्:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a))):k7p(विद्यालय_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))
(jA_1:TAM(0_rahA_hE_1):k1(addressee:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(m):attr_respect(yes)):CLAUSE_TYPE(yn_interrogative))	14	kyA Apa jA rahe hEM?	क्या आप जा रहे हैं?	(जा_1:TAM(0_रहा_है_1):k1(addressee:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(m):attr_respect(yes)):CLAUSE_TYPE(yn_interrogative))
(jA_1:TAM(0_rahA_hE_1):k1(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(yn_interrogative))	15	kyA rAma jA rahA hE?	क्या राम जा रहा है?	(जा_1:TAM(0_रहा_है_1):k1(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(yn_interrogative))
(paDa_1:TAM(0_rahA_hE_1):k1(ladakA_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k7p(bagIcA_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k2(kiwAba_1:attr_gen(-):attr_num(sg):attr_per(a):mod(nayA_1)):CLAUSE_TYPE(affirmative))	16	ladakA bagIce meM nayI kiwAba paDa rahA hE.	लडका बगीचे में नयी किताब पढ रहा है.	(पढ_1:TAM(0_रहा_है_1):k1(लडका_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k7p(बगीचा_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k2(किताब_1:attr_gen(-):attr_num(sg):attr_per(a):mod(नया_1)):CLAUSE_TYPE(affirmative))
(xeKa_3:TAM(0_rahA_hE_1):k1(ladakA_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k2(calacciwra_1:attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	17	ladakA calacciwra xeKa rahA hE.	लडका चलच्चित्र देख रहा है.	(देख_3:TAM(0_रहा_है_1):k1(लडका_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k2(चलच्चित्र_1:attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(paDa_1:TAM(0_rahA_hE_1):k1(ladakA_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k2(kiwAba_1:attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	18	ladakA kiwAba paDa rahA hE.	लडका किताब पढ रहा है.	(पढ_1:TAM(0_रहा_है_1):k1(लडका_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k2(किताब_1:attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(paDa_1:TAM(0_rahA_hE_1):k1(ladakA_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k2(kiwAba_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))	19	ladakA kiwAbeM paDa rahA hE.	लडका किताबें पढ रहा है.	(पढ_1:TAM(0_रहा_है_1):k1(लडका_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k2(किताब_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))
